heure,kind,quality,ouverture,haut,bas,cloture,n_releves,volume,valeur,profondeur_5pct
2026-09-03T19,88,0,11000.0,11000.0,11000.0,11000.0,2,0,0,969
2026-09-03T19,89,0,4400.0,4410.0,4400.0,4410.0,2,0,0,3525
2026-09-03T19,98,0,845.0,845.0,840.0,840.0,2,0,0,21170
2026-09-03T19,100,0,111.0,111.0,111.0,111.0,1,0,0,
2026-09-03T19,101,0,197.0,197.0,197.0,197.0,1,0,0,
2026-09-03T19,102,0,2.75,2.75,2.75,2.75,1,0,0,
2026-09-03T19,103,0,6.8,6.9,6.8,6.9,2,0,0,1896908
2026-09-03T19,104,0,0.97,0.97,0.97,0.97,2,0,0,2483957
2026-09-03T19,105,0,1.49,1.49,1.49,1.49,2,0,0,240751
2026-09-03T19,106,0,4.15,4.15,4.15,4.15,2,0,0,27639
2026-09-03T19,107,0,20.75,21.5,20.75,21.5,2,0,0,748527
2026-09-03T19,108,0,10.0,10.0,9.7,9.7,2,0,0,337684
2026-09-03T19,109,0,109.0,109.0,109.0,109.0,2,0,0,243727
2026-09-03T19,110,0,200.0,200.0,200.0,200.0,2,0,0,59633
2026-09-03T19,111,0,2600.0,2600.0,2600.0,2600.0,2,0,0,92890
2026-09-03T19,112,0,2190.0,2190.0,2190.0,2190.0,2,0,0,19543
2026-09-03T19,113,0,127.0,127.0,127.0,127.0,2,0,0,59314
2026-09-03T19,114,0,650.0,650.0,650.0,650.0,2,0,0,8517
2026-09-03T19,115,0,130.0,130.0,130.0,130.0,1,0,0,
2026-09-03T19,116,0,39.0,39.0,39.0,39.0,1,0,0,
2026-09-03T19,117,0,7.2,7.2,7.2,7.2,1,0,0,
2026-09-03T19,118,0,0.775,0.775,0.77,0.77,2,0,0,88043
2026-09-03T19,119,0,31.5,31.5,31.5,31.5,2,0,0,9346
2026-09-03T19,120,0,2.6,2.6,2.55,2.55,2,0,0,176071
2026-09-03T19,121,0,149.0,149.0,148.0,148.0,2,0,0,3592
2026-09-03T19,122,0,126.0,126.0,126.0,126.0,2,0,0,43820
2026-09-03T19,123,0,298.0,298.0,298.0,298.0,2,0,0,66425
2026-09-03T19,124,0,36.25,36.25,36.25,36.25,2,0,0,89718
2026-09-03T19,125,0,25.0,26.75,25.0,26.75,2,0,0,59362
2026-09-03T19,126,0,55.0,55.0,55.0,55.0,2,0,0,116377
2026-09-03T19,127,0,478.0,478.0,478.0,478.0,2,0,0,16794
2026-09-03T19,128,0,56.5,56.5,56.5,56.5,1,0,0,
2026-09-03T19,129,0,2180.0,2180.0,2180.0,2180.0,1,0,0,
2026-09-03T19,130,0,2060.0,2060.0,2060.0,2060.0,1,0,0,
2026-09-03T19,131,0,2390.0,2390.0,2390.0,2390.0,2,0,0,2069
2026-09-03T19,132,0,2210.0,2210.0,2200.0,2200.0,2,0,0,295
2026-09-03T19,133,0,18.2,18.2,17.9,17.9,2,0,0,383234
2026-09-03T19,134,0,49.5,49.5,49.25,49.25,2,0,0,78756
2026-09-03T19,135,0,17.9,17.9,17.8,17.8,2,0,0,301616
2026-09-03T19,136,0,1.58,1.58,1.58,1.58,2,0,0,1320610
2026-09-03T19,137,0,126.0,126.0,126.0,126.0,2,0,0,35066
2026-09-03T19,138,0,1260.0,1260.0,1260.0,1260.0,2,0,0,415
2026-09-03T19,139,0,10.1,10.1,10.1,10.1,2,0,0,752089
2026-09-03T19,140,0,256.0,260.0,256.0,260.0,2,0,0,32440
2026-09-03T19,141,0,37.0,37.0,37.0,37.0,1,0,0,
2026-09-03T19,142,0,780.0,780.0,780.0,780.0,1,0,0,
2026-09-03T19,143,0,760.0,760.0,760.0,760.0,1,0,0,
2026-09-03T19,144,0,17.2,17.2,17.2,17.2,2,0,0,28002
2026-09-03T19,145,0,135.0,135.0,135.0,135.0,2,0,0,656599
2026-09-03T19,146,0,6.5,6.5,6.5,6.5,2,0,0,22130
2026-09-03T19,147,0,40.0,40.0,40.0,40.0,2,0,0,480970
2026-09-03T19,148,0,33.25,33.25,33.25,33.25,2,0,0,52586
2026-09-03T19,149,0,725.0,725.0,725.0,725.0,2,0,0,65
2026-09-03T19,150,0,390.0,390.0,390.0,390.0,2,0,0,407
2026-09-03T19,151,0,232.0,232.0,232.0,232.0,2,0,0,1252
2026-09-03T19,152,0,234.0,234.0,234.0,234.0,2,0,0,228
2026-09-03T19,153,0,79.0,79.0,78.0,78.0,2,0,0,1945
2026-09-03T19,154,0,77.0,77.0,77.0,77.0,1,0,0,
2026-09-03T19,155,0,130.0,130.0,130.0,130.0,1,0,0,
2026-09-03T21,1,0,0.258,0.258,0.258,0.258,2,0,0,703578238
2026-09-03T21,2,0,0.369,0.369,0.365,0.365,2,0,0,15884110
2026-09-03T21,3,0,2.3,2.3,2.3,2.3,2,0,0,67714
2026-09-03T21,4,0,2.5,2.5,2.5,2.5,2,0,0,937828
2026-09-03T21,5,0,2.85,2.85,2.85,2.85,2,0,0,54565
2026-09-03T21,6,0,0.7,0.7,0.695,0.695,2,0,0,9299701
2026-09-03T21,7,0,40.0,40.0,40.0,40.0,2,0,0,198697
2026-09-03T21,8,0,10.7,10.7,10.6,10.6,2,0,0,198716
2026-09-03T21,9,0,1.13,1.14,1.13,1.14,2,0,0,46174
2026-09-03T21,10,0,29.0,29.0,29.0,29.0,1,0,0,
2026-09-03T21,11,0,41.25,41.25,41.25,41.25,2,0,0,470117
2026-09-03T21,12,0,41.0,41.0,41.0,41.0,2,0,0,1356642
2026-09-03T21,13,0,0.365,0.367,0.365,0.367,2,0,0,101775528
2026-09-03T21,14,0,11.2,11.2,11.2,11.2,2,0,0,3094432
2026-09-03T21,15,0,10.0,10.0,9.9,9.9,2,0,0,148827
2026-09-03T21,16,0,8.7,8.7,8.7,8.7,2,0,0,428956
2026-09-03T21,17,0,14.6,14.6,14.5,14.5,2,0,0,3116003
2026-09-03T21,18,0,20.25,20.25,20.0,20.0,2,0,0,16364
2026-09-03T21,19,0,11.0,11.0,11.0,11.0,2,0,0,206032
2026-09-03T21,20,0,108.0,109.0,108.0,109.0,2,0,0,2823
2026-09-03T21,21,0,57.5,57.5,57.5,57.5,1,0,0,
2026-09-03T21,22,0,89.5,89.5,89.5,89.5,1,0,0,
2026-09-03T21,23,0,127.0,127.0,127.0,127.0,1,0,0,
2026-09-03T21,24,0,620.0,625.0,620.0,625.0,2,0,0,38662
2026-09-03T21,25,0,730.0,730.0,725.0,725.0,2,0,0,2020
2026-09-03T21,26,0,1210.0,1210.0,1210.0,1210.0,2,0,0,8484
2026-09-03T21,27,0,570.0,570.0,570.0,570.0,2,0,0,6018
2026-09-03T21,28,0,950.0,950.0,950.0,950.0,2,0,0,1771
2026-09-03T21,29,0,99.5,99.5,98.0,98.0,2,0,0,206108
2026-09-03T21,30,0,155.0,155.0,155.0,155.0,2,0,0,143437
2026-09-03T21,31,0,200.0,200.0,200.0,200.0,2,0,0,410412
2026-09-03T21,32,0,214.0,218.0,214.0,218.0,2,0,0,157496
2026-09-03T21,33,0,109.0,109.0,108.0,108.0,2,0,0,84574
2026-09-03T21,34,0,94.5,94.5,94.5,94.5,1,0,0,
2026-09-03T21,35,0,86.5,86.5,86.5,86.5,1,0,0,
2026-09-03T21,40,0,1.6,1.6,1.6,1.6,1,0,0,
2026-09-03T21,41,0,4.75,4.75,4.75,4.75,1,0,0,
2026-09-03T21,42,0,5.2,5.2,5.2,5.2,2,0,0,964303
